Date,City,Impact
04-10-2012,Dallas,scattered clouds
04-10-2012,Houston,mist
04-10-2012,Kansas City,sky is clear
04-10-2012,Minneapolis,sky is clear
04-10-2012,Saint Louis,light rain
04-10-2012,Chicago,mist
04-10-2012,Nashville,overcast clouds
04-10-2012,Indianapolis,mist
04-10-2012,Atlanta,mist
04-10-2012,Detroit,overcast clouds
04-10-2012,Jacksonville,light rain
04-10-2012,Charlotte,mist
04-10-2012,Miami,light rain
04-10-2012,Pittsburgh,overcast clouds
04-10-2012,Toronto,sky is clear
04-10-2012,Philadelphia,fog
04-10-2012,New York,mist
04-10-2012,Montreal,mist
04-10-2012,Boston,mist
04-10-2012,Beersheba,sky is clear
04-10-2012,Tel Aviv District,sky is clear
04-10-2012,Eilat,sky is clear
04-10-2012,Haifa,sky is clear
04-10-2012,Nahariyya,sky is clear
04-10-2012,Jerusalem,sky is clear
05-10-2012,Vancouver,sky is clear
05-10-2012,Portland,sky is clear
05-10-2012,San Francisco,haze
05-10-2012,Seattle,sky is clear
05-10-2012,Los Angeles,overcast clouds
05-10-2012,San Diego,mist
05-10-2012,Las Vegas,sky is clear
05-10-2012,Phoenix,sky is clear
05-10-2012,Albuquerque,sky is clear
05-10-2012,Denver,scattered clouds
05-10-2012,San Antonio,scattered clouds
05-10-2012,Dallas,sky is clear
05-10-2012,Houston,mist
05-10-2012,Kansas City,sky is clear
05-10-2012,Minneapolis,overcast clouds
05-10-2012,Saint Louis,sky is clear
05-10-2012,Chicago,scattered clouds
05-10-2012,Nashville,scattered clouds
05-10-2012,Indianapolis,scattered clouds
05-10-2012,Atlanta,overcast clouds
05-10-2012,Detroit,scattered clouds
05-10-2012,Jacksonville,mist
05-10-2012,Charlotte,mist
05-10-2012,Miami,proximity thunderstorm
05-10-2012,Pittsburgh,scattered clouds
05-10-2012,Toronto,overcast clouds
05-10-2012,Philadelphia,mist
05-10-2012,New York,haze
05-10-2012,Montreal,mist
05-10-2012,Boston,mist
05-10-2012,Beersheba,sky is clear
05-10-2012,Tel Aviv District,scattered clouds
05-10-2012,Eilat,sky is clear
05-10-2012,Haifa,sky is clear
05-10-2012,Nahariyya,sky is clear
05-10-2012,Jerusalem,sky is clear
06-10-2012,Vancouver,sky is clear
06-10-2012,Portland,sky is clear
06-10-2012,San Francisco,mist
06-10-2012,Seattle,sky is clear
06-10-2012,Los Angeles,sky is clear
06-10-2012,San Diego,few clouds
06-10-2012,Las Vegas,sky is clear
06-10-2012,Phoenix,sky is clear
06-10-2012,Albuquerque,scattered clouds
06-10-2012,Denver,overcast clouds
06-10-2012,San Antonio,scattered clouds
06-10-2012,Dallas,few clouds
06-10-2012,Houston,mist
06-10-2012,Kansas City,overcast clouds
06-10-2012,Minneapolis,overcast clouds
06-10-2012,Saint Louis,moderate rain
06-10-2012,Chicago,overcast clouds
06-10-2012,Nashville,mist
06-10-2012,Indianapolis,light rain
06-10-2012,Atlanta,sky is clear
06-10-2012,Detroit,overcast clouds
06-10-2012,Jacksonville,light rain
06-10-2012,Charlotte,scattered clouds
06-10-2012,Miami,broken clouds
06-10-2012,Pittsburgh,sky is clear
06-10-2012,Toronto,sky is clear
06-10-2012,Philadelphia,mist
06-10-2012,New York,fog
06-10-2012,Montreal,sky is clear
06-10-2012,Boston,mist
06-10-2012,Beersheba,sky is clear
06-10-2012,Tel Aviv District,scattered clouds
06-10-2012,Eilat,sky is clear
06-10-2012,Haifa,sky is clear
06-10-2012,Nahariyya,sky is clear
06-10-2012,Jerusalem,sky is clear
07-10-2012,Vancouver,sky is clear
07-10-2012,Portland,sky is clear
07-10-2012,San Francisco,scattered clouds
07-10-2012,Seattle,sky is clear
07-10-2012,Los Angeles,sky is clear
07-10-2012,San Diego,haze
07-10-2012,Las Vegas,sky is clear
07-10-2012,Phoenix,broken clouds
07-10-2012,Albuquerque,scattered clouds
07-10-2012,Denver,mist
07-10-2012,San Antonio,overcast clouds
07-10-2012,Dallas,overcast clouds
07-10-2012,Houston,mist
07-10-2012,Kansas City,sky is clear
07-10-2012,Minneapolis,overcast clouds
07-10-2012,Saint Louis,sky is clear
07-10-2012,Chicago,scattered clouds
07-10-2012,Nashville,mist
07-10-2012,Indianapolis,moderate rain
07-10-2012,Atlanta,scattered clouds
07-10-2012,Detroit,overcast clouds
07-10-2012,Jacksonville,mist
07-10-2012,Charlotte,mist
07-10-2012,Miami,broken clouds
07-10-2012,Pittsburgh,mist
07-10-2012,Toronto,sky is clear
07-10-2012,Philadelphia,overcast clouds
07-10-2012,New York,fog
07-10-2012,Montreal,mist
07-10-2012,Boston,overcast clouds
07-10-2012,Beersheba,sky is clear
07-10-2012,Tel Aviv District,scattered clouds
07-10-2012,Eilat,sky is clear
07-10-2012,Haifa,sky is clear
07-10-2012,Nahariyya,sky is clear
07-10-2012,Jerusalem,sky is clear
08-10-2012,Vancouver,sky is clear
08-10-2012,Portland,sky is clear
08-10-2012,San Francisco,scattered clouds
08-10-2012,Seattle,sky is clear
08-10-2012,Los Angeles,sky is clear
08-10-2012,San Diego,mist
08-10-2012,Las Vegas,sky is clear
08-10-2012,Phoenix,sky is clear
08-10-2012,Albuquerque,sky is clear
08-10-2012,Denver,overcast clouds
08-10-2012,San Antonio,overcast clouds
08-10-2012,Dallas,overcast clouds
08-10-2012,Houston,overcast clouds
08-10-2012,Kansas City,sky is clear
08-10-2012,Minneapolis,overcast clouds
08-10-2012,Saint Louis,scattered clouds
08-10-2012,Chicago,overcast clouds
08-10-2012,Nashville,moderate rain
08-10-2012,Indianapolis,overcast clouds
08-10-2012,Atlanta,scattered clouds
08-10-2012,Detroit,overcast clouds
08-10-2012,Jacksonville,mist
08-10-2012,Charlotte,overcast clouds
08-10-2012,Miami,light rain
08-10-2012,Pittsburgh,overcast clouds
08-10-2012,Toronto,sky is clear
08-10-2012,Philadelphia,overcast clouds
08-10-2012,New York,light rain
08-10-2012,Montreal,sky is clear
08-10-2012,Boston,sky is clear
08-10-2012,Beersheba,sky is clear
08-10-2012,Tel Aviv District,few clouds
08-10-2012,Eilat,sky is clear
08-10-2012,Haifa,sky is clear
08-10-2012,Nahariyya,sky is clear
08-10-2012,Jerusalem,sky is clear
09-10-2012,Vancouver,sky is clear
09-10-2012,Portland,sky is clear
09-10-2012,San Francisco,light rain
09-10-2012,Seattle,sky is clear
09-10-2012,Los Angeles,sky is clear
09-10-2012,San Diego,overcast clouds
09-10-2012,Las Vegas,sky is clear
09-10-2012,Phoenix,sky is clear
09-10-2012,Albuquerque,sky is clear
09-10-2012,Denver,sky is clear
09-10-2012,San Antonio,overcast clouds
09-10-2012,Dallas,sky is clear
09-10-2012,Houston,overcast clouds
09-10-2012,Kansas City,sky is clear
09-10-2012,Minneapolis,overcast clouds
09-10-2012,Saint Louis,sky is clear
09-10-2012,Chicago,sky is clear
09-10-2012,Nashville,overcast clouds
09-10-2012,Indianapolis,few clouds
09-10-2012,Atlanta,overcast clouds
09-10-2012,Detroit,sky is clear
09-10-2012,Jacksonville,proximity thunderstorm
09-10-2012,Charlotte,overcast clouds
09-10-2012,Miami,mist
09-10-2012,Pittsburgh,mist
09-10-2012,Toronto,sky is clear
09-10-2012,Philadelphia,mist
09-10-2012,New York,mist
09-10-2012,Montreal,sky is clear
09-10-2012,Boston,mist
09-10-2012,Beersheba,sky is clear
09-10-2012,Tel Aviv District,scattered clouds
09-10-2012,Eilat,sky is clear
09-10-2012,Haifa,sky is clear
09-10-2012,Nahariyya,sky is clear
09-10-2012,Jerusalem,sky is clear
10-10-2012,Vancouver,sky is clear
10-10-2012,Portland,sky is clear
10-10-2012,San Francisco,fog
10-10-2012,Seattle,sky is clear
10-10-2012,Los Angeles,sky is clear
10-10-2012,San Diego,few clouds
10-10-2012,Las Vegas,sky is clear
10-10-2012,Phoenix,sky is clear
10-10-2012,Albuquerque,sky is clear
10-10-2012,Denver,overcast clouds
10-10-2012,San Antonio,overcast clouds
10-10-2012,Dallas,scattered clouds
10-10-2012,Houston,light rain
10-10-2012,Kansas City,sky is clear
10-10-2012,Minneapolis,overcast clouds
10-10-2012,Saint Louis,sky is clear
10-10-2012,Chicago,broken clouds
10-10-2012,Nashville,sky is clear
10-10-2012,Indianapolis,sky is clear
10-10-2012,Atlanta,overcast clouds
10-10-2012,Detroit,sky is clear
10-10-2012,Jacksonville,mist
10-10-2012,Charlotte,mist
10-10-2012,Miami,light rain
10-10-2012,Pittsburgh,scattered clouds
10-10-2012,Toronto,sky is clear
10-10-2012,Philadelphia,mist
10-10-2012,New York,overcast clouds
10-10-2012,Montreal,sky is clear
10-10-2012,Boston,sky is clear
10-10-2012,Beersheba,sky is clear
10-10-2012,Tel Aviv District,few clouds
10-10-2012,Eilat,sky is clear
10-10-2012,Haifa,sky is clear
10-10-2012,Nahariyya,sky is clear
10-10-2012,Jerusalem,sky is clear
11-10-2012,Vancouver,sky is clear
11-10-2012,Portland,sky is clear
11-10-2012,San Francisco,scattered clouds
11-10-2012,Seattle,sky is clear
11-10-2012,Los Angeles,sky is clear
11-10-2012,San Diego,scattered clouds
11-10-2012,Las Vegas,sky is clear
11-10-2012,Phoenix,sky is clear
11-10-2012,Albuquerque,sky is clear
11-10-2012,Denver,sky is clear
11-10-2012,San Antonio,overcast clouds
11-10-2012,Dallas,overcast clouds
11-10-2012,Houston,scattered clouds
11-10-2012,Kansas City,sky is clear
11-10-2012,Minneapolis,scattered clouds
11-10-2012,Saint Louis,sky is clear
11-10-2012,Chicago,sky is clear
11-10-2012,Nashville,sky is clear
11-10-2012,Indianapolis,overcast clouds
11-10-2012,Atlanta,scattered clouds
11-10-2012,Detroit,overcast clouds
11-10-2012,Jacksonville,mist
11-10-2012,Charlotte,sky is clear
11-10-2012,Miami,overcast clouds
11-10-2012,Pittsburgh,few clouds
11-10-2012,Toronto,sky is clear
11-10-2012,Philadelphia,overcast clouds
11-10-2012,New York,moderate rain
11-10-2012,Montreal,sky is clear
11-10-2012,Boston,overcast clouds
11-10-2012,Beersheba,sky is clear
11-10-2012,Tel Aviv District,sky is clear
11-10-2012,Eilat,sky is clear
11-10-2012,Haifa,sky is clear
11-10-2012,Nahariyya,sky is clear
11-10-2012,Jerusalem,sky is clear
12-10-2012,Vancouver,sky is clear
12-10-2012,Portland,mist
12-10-2012,San Francisco,mist
12-10-2012,Seattle,mist
12-10-2012,Los Angeles,sky is clear
12-10-2012,San Diego,light rain
12-10-2012,Las Vegas,mist
12-10-2012,Phoenix,few clouds
12-10-2012,Albuquerque,sky is clear
12-10-2012,Denver,broken clouds
12-10-2012,San Antonio,overcast clouds
12-10-2012,Dallas,mist
12-10-2012,Houston,overcast clouds
12-10-2012,Kansas City,sky is clear
12-10-2012,Minneapolis,overcast clouds
12-10-2012,Saint Louis,sky is clear
12-10-2012,Chicago,scattered clouds
12-10-2012,Nashville,sky is clear
12-10-2012,Indianapolis,sky is clear
12-10-2012,Atlanta,sky is clear
12-10-2012,Detroit,sky is clear
12-10-2012,Jacksonville,mist
12-10-2012,Charlotte,sky is clear
12-10-2012,Miami,scattered clouds
12-10-2012,Pittsburgh,sky is clear
12-10-2012,Toronto,sky is clear
12-10-2012,Philadelphia,sky is clear
12-10-2012,New York,scattered clouds
12-10-2012,Montreal,light rain
12-10-2012,Boston,mist
12-10-2012,Beersheba,sky is clear
12-10-2012,Tel Aviv District,sky is clear
12-10-2012,Eilat,sky is clear
12-10-2012,Haifa,sky is clear
12-10-2012,Nahariyya,sky is clear
12-10-2012,Jerusalem,sky is clear
13-10-2012,Vancouver,mist
13-10-2012,Portland,light rain
13-10-2012,San Francisco,light rain
13-10-2012,Seattle,mist
13-10-2012,Los Angeles,haze
13-10-2012,San Diego,light rain
13-10-2012,Las Vegas,proximity thunderstorm
13-10-2012,Phoenix,light rain
13-10-2012,Albuquerque,light rain
13-10-2012,Denver,scattered clouds
13-10-2012,San Antonio,mist
13-10-2012,Dallas,mist
13-10-2012,Houston,overcast clouds
13-10-2012,Kansas City,overcast clouds
13-10-2012,Minneapolis,sky is clear
13-10-2012,Saint Louis,overcast clouds
13-10-2012,Chicago,light intensity drizzle
13-10-2012,Nashville,mist
13-10-2012,Indianapolis,few clouds
13-10-2012,Atlanta,scattered clouds
13-10-2012,Detroit,sky is clear
13-10-2012,Jacksonville,few clouds
13-10-2012,Charlotte,scattered clouds
13-10-2012,Miami,scattered clouds
13-10-2012,Pittsburgh,sky is clear
13-10-2012,Toronto,sky is clear
13-10-2012,Philadelphia,mist
13-10-2012,New York,scattered clouds
13-10-2012,Montreal,sky is clear
13-10-2012,Boston,sky is clear
13-10-2012,Beersheba,sky is clear
13-10-2012,Tel Aviv District,sky is clear
13-10-2012,Eilat,sky is clear
13-10-2012,Haifa,sky is clear
13-10-2012,Nahariyya,sky is clear
13-10-2012,Jerusalem,sky is clear
14-10-2012,Vancouver,mist
14-10-2012,Portland,mist
14-10-2012,San Francisco,few clouds
14-10-2012,Seattle,mist
14-10-2012,Los Angeles,sky is clear
14-10-2012,San Diego,few clouds
14-10-2012,Las Vegas,sky is clear
14-10-2012,Phoenix,sky is clear
14-10-2012,Albuquerque,scattered clouds
14-10-2012,Denver,light rain
14-10-2012,San Antonio,overcast clouds
14-10-2012,Dallas,overcast clouds
14-10-2012,Houston,few clouds
14-10-2012,Kansas City,mist
14-10-2012,Minneapolis,mist
14-10-2012,Saint Louis,mist
14-10-2012,Chicago,mist
14-10-2012,Nashville,mist
14-10-2012,Indianapolis,overcast clouds
14-10-2012,Atlanta,sky is clear
14-10-2012,Detroit,sky is clear
14-10-2012,Jacksonville,scattered clouds
14-10-2012,Charlotte,mist
14-10-2012,Miami,light rain
14-10-2012,Pittsburgh,sky is clear
14-10-2012,Toronto,sky is clear
14-10-2012,Philadelphia,few clouds
14-10-2012,New York,sky is clear
14-10-2012,Montreal,sky is clear
14-10-2012,Boston,sky is clear
14-10-2012,Beersheba,sky is clear
14-10-2012,Tel Aviv District,sky is clear
14-10-2012,Eilat,sky is clear
14-10-2012,Haifa,sky is clear
14-10-2012,Nahariyya,sky is clear
14-10-2012,Jerusalem,sky is clear
15-10-2012,Vancouver,sky is clear
15-10-2012,Portland,overcast clouds
15-10-2012,San Francisco,mist
15-10-2012,Seattle,overcast clouds
15-10-2012,Los Angeles,sky is clear
15-10-2012,San Diego,scattered clouds
15-10-2012,Las Vegas,sky is clear
15-10-2012,Phoenix,sky is clear
15-10-2012,Albuquerque,sky is clear
15-10-2012,Denver,few clouds
15-10-2012,San Antonio,overcast clouds
15-10-2012,Dallas,scattered clouds
15-10-2012,Houston,mist
15-10-2012,Kansas City,overcast clouds
15-10-2012,Minneapolis,mist
15-10-2012,Saint Louis,light rain
15-10-2012,Chicago,mist
15-10-2012,Nashville,overcast clouds
15-10-2012,Indianapolis,overcast clouds
15-10-2012,Atlanta,overcast clouds
15-10-2012,Detroit,mist
15-10-2012,Jacksonville,mist
15-10-2012,Charlotte,overcast clouds
15-10-2012,Miami,light rain
15-10-2012,Pittsburgh,scattered clouds
15-10-2012,Toronto,mist
15-10-2012,Philadelphia,overcast clouds
15-10-2012,New York,broken clouds
15-10-2012,Montreal,mist
15-10-2012,Boston,moderate rain
15-10-2012,Beersheba,sky is clear
15-10-2012,Tel Aviv District,scattered clouds
15-10-2012,Eilat,sky is clear
15-10-2012,Haifa,sky is clear
15-10-2012,Nahariyya,sky is clear
15-10-2012,Jerusalem,sky is clear
16-10-2012,Vancouver,mist
16-10-2012,Portland,mist
16-10-2012,San Francisco,mist
16-10-2012,Seattle,mist
16-10-2012,Los Angeles,sky is clear
16-10-2012,San Diego,sky is clear
16-10-2012,Las Vegas,sky is clear
16-10-2012,Phoenix,sky is clear
16-10-2012,Albuquerque,sky is clear
16-10-2012,Denver,scattered clouds
16-10-2012,San Antonio,sky is clear
16-10-2012,Dallas,sky is clear
16-10-2012,Houston,overcast clouds
16-10-2012,Kansas City,sky is clear
16-10-2012,Minneapolis,few clouds
16-10-2012,Saint Louis,sky is clear
16-10-2012,Chicago,overcast clouds
16-10-2012,Nashville,scattered clouds
16-10-2012,Indianapolis,overcast clouds
16-10-2012,Atlanta,moderate rain
16-10-2012,Detroit,overcast clouds
16-10-2012,Jacksonville,mist
16-10-2012,Charlotte,overcast clouds
16-10-2012,Miami,light rain
16-10-2012,Pittsburgh,overcast clouds
16-10-2012,Toronto,overcast clouds
16-10-2012,Philadelphia,overcast clouds
16-10-2012,New York,light intensity drizzle
16-10-2012,Montreal,mist
16-10-2012,Boston,sky is clear
16-10-2012,Beersheba,sky is clear
16-10-2012,Tel Aviv District,sky is clear
16-10-2012,Eilat,sky is clear
16-10-2012,Haifa,sky is clear
16-10-2012,Nahariyya,sky is clear
16-10-2012,Jerusalem,sky is clear
17-10-2012,Vancouver,sky is clear
17-10-2012,Portland,overcast clouds
17-10-2012,San Francisco,mist
17-10-2012,Seattle,overcast clouds
17-10-2012,Los Angeles,mist
17-10-2012,San Diego,mist
17-10-2012,Las Vegas,sky is clear
17-10-2012,Phoenix,sky is clear
17-10-2012,Albuquerque,sky is clear
17-10-2012,Denver,scattered clouds
17-10-2012,San Antonio,light rain
17-10-2012,Dallas,sky is clear
17-10-2012,Houston,mist
17-10-2012,Kansas City,sky is clear
17-10-2012,Minneapolis,overcast clouds
17-10-2012,Saint Louis,sky is clear
17-10-2012,Chicago,scattered clouds
17-10-2012,Nashville,sky is clear
17-10-2012,Indianapolis,sky is clear
17-10-2012,Atlanta,sky is clear
17-10-2012,Detroit,sky is clear
17-10-2012,Jacksonville,few clouds
17-10-2012,Charlotte,sky is clear
17-10-2012,Miami,scattered clouds
17-10-2012,Pittsburgh,overcast clouds
17-10-2012,Toronto,sky is clear
17-10-2012,Philadelphia,scattered clouds
17-10-2012,New York,overcast clouds
17-10-2012,Montreal,sky is clear
17-10-2012,Boston,sky is clear
17-10-2012,Beersheba,sky is clear
17-10-2012,Tel Aviv District,sky is clear
17-10-2012,Eilat,sky is clear
17-10-2012,Haifa,sky is clear
17-10-2012,Nahariyya,sky is clear
17-10-2012,Jerusalem,sky is clear
18-10-2012,Vancouver,sky is clear
18-10-2012,Portland,mist
18-10-2012,San Francisco,mist
18-10-2012,Seattle,scattered clouds
18-10-2012,Los Angeles,sky is clear
18-10-2012,San Diego,haze
18-10-2012,Las Vegas,sky is clear
18-10-2012,Phoenix,scattered clouds
18-10-2012,Albuquerque,sky is clear
18-10-2012,Denver,scattered clouds
18-10-2012,San Antonio,mist
18-10-2012,Dallas,overcast clouds
18-10-2012,Houston,mist
18-10-2012,Kansas City,sky is clear
18-10-2012,Minneapolis,overcast clouds
18-10-2012,Saint Louis,overcast clouds
18-10-2012,Chicago,light rain
18-10-2012,Nashville,sky is clear
18-10-2012,Indianapolis,few clouds
18-10-2012,Atlanta,sky is clear
18-10-2012,Detroit,scattered clouds
18-10-2012,Jacksonville,broken clouds
18-10-2012,Charlotte,mist
18-10-2012,Miami,few clouds
18-10-2012,Pittsburgh,sky is clear
18-10-2012,Toronto,sky is clear
18-10-2012,Philadelphia,scattered clouds
18-10-2012,New York,fog
18-10-2012,Montreal,sky is clear
18-10-2012,Boston,sky is clear
18-10-2012,Beersheba,sky is clear
18-10-2012,Tel Aviv District,sky is clear
18-10-2012,Eilat,sky is clear
18-10-2012,Haifa,sky is clear
18-10-2012,Nahariyya,sky is clear
18-10-2012,Jerusalem,sky is clear
19-10-2012,Vancouver,sky is clear
19-10-2012,Portland,fog
19-10-2012,San Francisco,sky is clear
19-10-2012,Seattle,sky is clear
19-10-2012,Los Angeles,sky is clear
19-10-2012,San Diego,broken clouds
19-10-2012,Las Vegas,sky is clear
19-10-2012,Phoenix,scattered clouds
19-10-2012,Albuquerque,sky is clear
19-10-2012,Denver,sky is clear
19-10-2012,San Antonio,sky is clear
19-10-2012,Dallas,sky is clear
19-10-2012,Houston,mist
19-10-2012,Kansas City,overcast clouds
19-10-2012,Minneapolis,mist
19-10-2012,Saint Louis,overcast clouds
19-10-2012,Chicago,moderate rain
19-10-2012,Nashville,scattered clouds
19-10-2012,Indianapolis,light rain
19-10-2012,Atlanta,overcast clouds
19-10-2012,Detroit,light rain
19-10-2012,Jacksonville,mist
19-10-2012,Charlotte,mist
19-10-2012,Miami,light rain
19-10-2012,Pittsburgh,sky is clear
19-10-2012,Toronto,sky is clear
19-10-2012,Philadelphia,overcast clouds
19-10-2012,New York,fog
19-10-2012,Montreal,sky is clear
19-10-2012,Boston,sky is clear
19-10-2012,Beersheba,sky is clear
19-10-2012,Tel Aviv District,sky is clear
19-10-2012,Eilat,sky is clear
19-10-2012,Haifa,sky is clear
19-10-2012,Nahariyya,sky is clear
19-10-2012,Jerusalem,sky is clear
20-10-2012,Vancouver,sky is clear
20-10-2012,Portland,overcast clouds
20-10-2012,San Francisco,mist
20-10-2012,Seattle,mist
20-10-2012,Los Angeles,sky is clear
20-10-2012,San Diego,few clouds
20-10-2012,Las Vegas,sky is clear
20-10-2012,Phoenix,sky is clear
20-10-2012,Albuquerque,sky is clear
20-10-2012,Denver,sky is clear
20-10-2012,San Antonio,sky is clear
20-10-2012,Dallas,sky is clear
20-10-2012,Houston,light rain
20-10-2012,Kansas City,overcast clouds
20-10-2012,Minneapolis,light intensity drizzle
20-10-2012,Saint Louis,light rain
20-10-2012,Chicago,light rain
20-10-2012,Nashville,overcast clouds
20-10-2012,Indianapolis,mist
20-10-2012,Atlanta,sky is clear
20-10-2012,Detroit,overcast clouds
20-10-2012,Jacksonville,broken clouds
20-10-2012,Charlotte,mist
20-10-2012,Miami,mist
20-10-2012,Pittsburgh,mist
20-10-2012,Toronto,overcast clouds
20-10-2012,Philadelphia,mist
20-10-2012,New York,moderate rain
20-10-2012,Montreal,mist
20-10-2012,Boston,mist
20-10-2012,Beersheba,sky is clear
20-10-2012,Tel Aviv District,sky is clear
20-10-2012,Eilat,sky is clear
20-10-2012,Haifa,sky is clear
20-10-2012,Nahariyya,sky is clear
20-10-2012,Jerusalem,sky is clear
21-10-2012,Vancouver,overcast clouds
21-10-2012,Portland,light rain
21-10-2012,San Francisco,broken clouds
21-10-2012,Seattle,mist
21-10-2012,Los Angeles,overcast clouds
21-10-2012,San Diego,overcast clouds
21-10-2012,Las Vegas,sky is clear
21-10-2012,Phoenix,sky is clear
21-10-2012,Albuquerque,sky is clear
21-10-2012,Denver,overcast clouds
21-10-2012,San Antonio,few clouds
21-10-2012,Dallas,sky is clear
21-10-2012,Houston,scattered clouds
21-10-2012,Kansas City,scattered clouds
21-10-2012,Minneapolis,broken clouds
21-10-2012,Saint Louis,scattered clouds
21-10-2012,Chicago,light rain
21-10-2012,Nashville,overcast clouds
21-10-2012,Indianapolis,overcast clouds
21-10-2012,Atlanta,sky is clear
21-10-2012,Detroit,light rain
21-10-2012,Jacksonville,sky is clear
21-10-2012,Charlotte,sky is clear
21-10-2012,Miami,scattered clouds
21-10-2012,Pittsburgh,overcast clouds
21-10-2012,Toronto,sky is clear
21-10-2012,Philadelphia,overcast clouds
21-10-2012,New York,scattered clouds
21-10-2012,Montreal,scattered clouds
21-10-2012,Boston,mist
21-10-2012,Beersheba,sky is clear
21-10-2012,Tel Aviv District,sky is clear
21-10-2012,Eilat,scattered clouds
21-10-2012,Haifa,scattered clouds
21-10-2012,Nahariyya,scattered clouds
21-10-2012,Jerusalem,sky is clear
22-10-2012,Vancouver,sky is clear
