Data,City,Value
08-10-2012,Nahariyya,2
08-10-2012,Jerusalem,1.5
09-10-2012,Vancouver,0
09-10-2012,Portland,0
09-10-2012,San Francisco,3
09-10-2012,Seattle,1
09-10-2012,Los Angeles,0.5
09-10-2012,San Diego,1
09-10-2012,Las Vegas,1
09-10-2012,Phoenix,0
09-10-2012,Albuquerque,1
09-10-2012,Denver,2
09-10-2012,San Antonio,2
09-10-2012,Dallas,0
09-10-2012,Houston,4
09-10-2012,Kansas City,2
09-10-2012,Minneapolis,3
09-10-2012,Saint Louis,0
09-10-2012,Chicago,2
09-10-2012,Nashville,2
09-10-2012,Indianapolis,0
09-10-2012,Atlanta,1
09-10-2012,Detroit,2
09-10-2012,Jacksonville,2
09-10-2012,Charlotte,3.5
09-10-2012,Miami,1
09-10-2012,Pittsburgh,1
09-10-2012,Toronto,3
09-10-2012,Philadelphia,2
09-10-2012,New York,3
09-10-2012,Montreal,1
09-10-2012,Boston,5
09-10-2012,Beersheba,2
09-10-2012,Tel Aviv District,2
09-10-2012,Eilat,5
09-10-2012,Haifa,2.5
09-10-2012,Nahariyya,2.5
09-10-2012,Jerusalem,2.5
10-10-2012,Vancouver,1
10-10-2012,Portland,0.5
10-10-2012,San Francisco,2
10-10-2012,Seattle,2
10-10-2012,Los Angeles,0
10-10-2012,San Diego,1
10-10-2012,Las Vegas,3
10-10-2012,Phoenix,0.5
10-10-2012,Albuquerque,3
10-10-2012,Denver,2
10-10-2012,San Antonio,2
10-10-2012,Dallas,4
10-10-2012,Houston,2
10-10-2012,Kansas City,4
10-10-2012,Minneapolis,4.5
10-10-2012,Saint Louis,1.5
10-10-2012,Chicago,5
10-10-2012,Nashville,0.5
10-10-2012,Indianapolis,2
10-10-2012,Atlanta,1
10-10-2012,Detroit,3
10-10-2012,Jacksonville,4
10-10-2012,Charlotte,2
10-10-2012,Miami,1.5
10-10-2012,Pittsburgh,0
10-10-2012,Toronto,3
10-10-2012,Philadelphia,3
10-10-2012,New York,3.5
10-10-2012,Montreal,0
10-10-2012,Boston,4
10-10-2012,Beersheba,1.5
10-10-2012,Tel Aviv District,2
10-10-2012,Eilat,4.5
10-10-2012,Haifa,2
10-10-2012,Nahariyya,2
10-10-2012,Jerusalem,1.5
11-10-2012,Vancouver,1
11-10-2012,Portland,0.5
11-10-2012,San Francisco,3.5
11-10-2012,Seattle,0
11-10-2012,Los Angeles,2.5
11-10-2012,San Diego,3
11-10-2012,Las Vegas,5
11-10-2012,Phoenix,1
11-10-2012,Albuquerque,1.5
11-10-2012,Denver,2
11-10-2012,San Antonio,3
11-10-2012,Dallas,3
11-10-2012,Houston,3
11-10-2012,Kansas City,0.5
11-10-2012,Minneapolis,4
11-10-2012,Saint Louis,3
11-10-2012,Chicago,5.5
11-10-2012,Nashville,2
11-10-2012,Indianapolis,5.5
11-10-2012,Atlanta,1
11-10-2012,Detroit,6
11-10-2012,Jacksonville,2
11-10-2012,Charlotte,0
11-10-2012,Miami,3.5
11-10-2012,Pittsburgh,3
11-10-2012,Toronto,6
11-10-2012,Philadelphia,3
11-10-2012,New York,5
11-10-2012,Montreal,4.5
11-10-2012,Boston,3
11-10-2012,Beersheba,1
11-10-2012,Tel Aviv District,0
11-10-2012,Eilat,2
11-10-2012,Haifa,1
11-10-2012,Nahariyya,1
11-10-2012,Jerusalem,1
12-10-2012,Vancouver,0
12-10-2012,Portland,1
12-10-2012,San Francisco,4
12-10-2012,Seattle,1
12-10-2012,Los Angeles,0
12-10-2012,San Diego,2
12-10-2012,Las Vegas,3.5
12-10-2012,Phoenix,1.5
12-10-2012,Albuquerque,0
12-10-2012,Denver,2
12-10-2012,San Antonio,2.5
12-10-2012,Dallas,3
12-10-2012,Houston,2
12-10-2012,Kansas City,2.5
12-10-2012,Minneapolis,5
12-10-2012,Saint Louis,0.5
12-10-2012,Chicago,4
12-10-2012,Nashville,1
12-10-2012,Indianapolis,2
12-10-2012,Atlanta,0
12-10-2012,Detroit,3.5
12-10-2012,Jacksonville,3
12-10-2012,Charlotte,2.5
12-10-2012,Miami,2
12-10-2012,Pittsburgh,3
12-10-2012,Toronto,5
12-10-2012,Philadelphia,4
12-10-2012,New York,6
12-10-2012,Montreal,5
12-10-2012,Boston,3
12-10-2012,Beersheba,2
12-10-2012,Tel Aviv District,2
12-10-2012,Eilat,1.5
12-10-2012,Haifa,4
12-10-2012,Nahariyya,4
12-10-2012,Jerusalem,3
13-10-2012,Vancouver,1
13-10-2012,Portland,2
13-10-2012,San Francisco,3.5
13-10-2012,Seattle,3.5
13-10-2012,Los Angeles,0
13-10-2012,San Diego,2
13-10-2012,Las Vegas,2
13-10-2012,Phoenix,3
13-10-2012,Albuquerque,4
13-10-2012,Denver,3
13-10-2012,San Antonio,3
13-10-2012,Dallas,4
13-10-2012,Houston,2.5
13-10-2012,Kansas City,5
13-10-2012,Minneapolis,3.5
13-10-2012,Saint Louis,2.5
13-10-2012,Chicago,4
13-10-2012,Nashville,2
13-10-2012,Indianapolis,2.5
13-10-2012,Atlanta,1
13-10-2012,Detroit,3
13-10-2012,Jacksonville,3
13-10-2012,Charlotte,0
13-10-2012,Miami,4.5
13-10-2012,Pittsburgh,3
13-10-2012,Toronto,3
13-10-2012,Philadelphia,3.5
13-10-2012,New York,4
13-10-2012,Montreal,3
13-10-2012,Boston,2
13-10-2012,Beersheba,1
13-10-2012,Tel Aviv District,1.5
13-10-2012,Eilat,6
13-10-2012,Haifa,3.5
13-10-2012,Nahariyya,3.5
13-10-2012,Jerusalem,1.5
14-10-2012,Vancouver,2
14-10-2012,Portland,2.5
14-10-2012,San Francisco,2
14-10-2012,Seattle,4
14-10-2012,Los Angeles,0
14-10-2012,San Diego,2
14-10-2012,Las Vegas,1
14-10-2012,Phoenix,1
14-10-2012,Albuquerque,4
14-10-2012,Denver,3
14-10-2012,San Antonio,5
14-10-2012,Dallas,7
14-10-2012,Houston,2.5
14-10-2012,Kansas City,3
14-10-2012,Minneapolis,3.5
14-10-2012,Saint Louis,2.5
14-10-2012,Chicago,4
14-10-2012,Nashville,2
14-10-2012,Indianapolis,2
14-10-2012,Atlanta,2.5
14-10-2012,Detroit,0
14-10-2012,Jacksonville,3
14-10-2012,Charlotte,2
14-10-2012,Miami,3
14-10-2012,Pittsburgh,2
14-10-2012,Toronto,1.5
14-10-2012,Philadelphia,3
14-10-2012,New York,3
14-10-2012,Montreal,0
14-10-2012,Boston,1
14-10-2012,Beersheba,1
14-10-2012,Tel Aviv District,2
14-10-2012,Eilat,5
14-10-2012,Haifa,3.5
14-10-2012,Nahariyya,3.5
14-10-2012,Jerusalem,1
15-10-2012,Vancouver,3.5
15-10-2012,Portland,3
15-10-2012,San Francisco,4
15-10-2012,Seattle,3
15-10-2012,Los Angeles,0
15-10-2012,San Diego,1
15-10-2012,Las Vegas,0
15-10-2012,Phoenix,0
15-10-2012,Albuquerque,2.5
15-10-2012,Denver,1.5
15-10-2012,San Antonio,3
15-10-2012,Dallas,2
15-10-2012,Houston,3
15-10-2012,Kansas City,5
15-10-2012,Minneapolis,4
15-10-2012,Saint Louis,4
15-10-2012,Chicago,5
15-10-2012,Nashville,5
15-10-2012,Indianapolis,4.5
15-10-2012,Atlanta,2
15-10-2012,Detroit,4
15-10-2012,Jacksonville,3.5
15-10-2012,Charlotte,0
15-10-2012,Miami,5
15-10-2012,Pittsburgh,4
15-10-2012,Toronto,2
15-10-2012,Philadelphia,4
15-10-2012,New York,5
15-10-2012,Montreal,3
15-10-2012,Boston,0
15-10-2012,Beersheba,1
15-10-2012,Tel Aviv District,2
15-10-2012,Eilat,6.5
15-10-2012,Haifa,3.5
15-10-2012,Nahariyya,3.5
15-10-2012,Jerusalem,1.5
16-10-2012,Vancouver,4
16-10-2012,Portland,3.5
16-10-2012,San Francisco,3
16-10-2012,Seattle,3
16-10-2012,Los Angeles,0
16-10-2012,San Diego,1
16-10-2012,Las Vegas,1.5
16-10-2012,Phoenix,1
16-10-2012,Albuquerque,0.5
16-10-2012,Denver,2
16-10-2012,San Antonio,1
16-10-2012,Dallas,0
16-10-2012,Houston,3
16-10-2012,Kansas City,0
16-10-2012,Minneapolis,2
16-10-2012,Saint Louis,2
16-10-2012,Chicago,4
16-10-2012,Nashville,3
16-10-2012,Indianapolis,5
16-10-2012,Atlanta,2
16-10-2012,Detroit,5
16-10-2012,Jacksonville,1
16-10-2012,Charlotte,3
16-10-2012,Miami,2.5
16-10-2012,Pittsburgh,5
16-10-2012,Toronto,3
16-10-2012,Philadelphia,5
16-10-2012,New York,4
16-10-2012,Montreal,4
16-10-2012,Boston,1
16-10-2012,Beersheba,1
16-10-2012,Tel Aviv District,4
16-10-2012,Eilat,7.5
16-10-2012,Haifa,4
16-10-2012,Nahariyya,4
16-10-2012,Jerusalem,1.5
17-10-2012,Vancouver,5
17-10-2012,Portland,4
17-10-2012,San Francisco,5
17-10-2012,Seattle,5
17-10-2012,Los Angeles,0
17-10-2012,San Diego,1
17-10-2012,Las Vegas,1
17-10-2012,Phoenix,0
17-10-2012,Albuquerque,2
17-10-2012,Denver,2
17-10-2012,San Antonio,0
17-10-2012,Dallas,2
17-10-2012,Houston,0
17-10-2012,Kansas City,2
17-10-2012,Minneapolis,3
17-10-2012,Saint Louis,1
17-10-2012,Chicago,2.5
17-10-2012,Nashville,0
17-10-2012,Indianapolis,0.5
17-10-2012,Atlanta,0
17-10-2012,Detroit,2
17-10-2012,Jacksonville,5
17-10-2012,Charlotte,1
17-10-2012,Miami,2
17-10-2012,Pittsburgh,2
17-10-2012,Toronto,3
17-10-2012,Philadelphia,3
17-10-2012,New York,4.5
17-10-2012,Montreal,2
17-10-2012,Boston,5
17-10-2012,Beersheba,1
17-10-2012,Tel Aviv District,2
17-10-2012,Eilat,3
17-10-2012,Haifa,4
17-10-2012,Nahariyya,4
17-10-2012,Jerusalem,1.5
18-10-2012,Vancouver,2
18-10-2012,Portland,1
18-10-2012,San Francisco,1
18-10-2012,Seattle,1
18-10-2012,Los Angeles,0
18-10-2012,San Diego,2
18-10-2012,Las Vegas,2
18-10-2012,Phoenix,0
18-10-2012,Albuquerque,3.5
18-10-2012,Denver,10
18-10-2012,San Antonio,2
18-10-2012,Dallas,5
18-10-2012,Houston,2.5
18-10-2012,Kansas City,5
18-10-2012,Minneapolis,3.5
18-10-2012,Saint Louis,3.5
18-10-2012,Chicago,6
18-10-2012,Nashville,2
18-10-2012,Indianapolis,4
18-10-2012,Atlanta,0
18-10-2012,Detroit,2
18-10-2012,Jacksonville,3
18-10-2012,Charlotte,1
18-10-2012,Miami,2
18-10-2012,Pittsburgh,2.5
18-10-2012,Toronto,3
18-10-2012,Philadelphia,1
18-10-2012,New York,2
18-10-2012,Montreal,0
18-10-2012,Boston,0
18-10-2012,Beersheba,1
18-10-2012,Tel Aviv District,2
18-10-2012,Eilat,6
18-10-2012,Haifa,3.5
18-10-2012,Nahariyya,3.5
18-10-2012,Jerusalem,1
19-10-2012,Vancouver,2
19-10-2012,Portland,1
19-10-2012,San Francisco,1
19-10-2012,Seattle,0
19-10-2012,Los Angeles,0
19-10-2012,San Diego,4
19-10-2012,Las Vegas,1.5
19-10-2012,Phoenix,0
19-10-2012,Albuquerque,5
19-10-2012,Denver,3
19-10-2012,San Antonio,3
19-10-2012,Dallas,2.5
19-10-2012,Houston,4.5
19-10-2012,Kansas City,4.5
19-10-2012,Minneapolis,3
19-10-2012,Saint Louis,3.5
19-10-2012,Chicago,7
19-10-2012,Nashville,3.5
19-10-2012,Indianapolis,6
19-10-2012,Atlanta,2.5
19-10-2012,Detroit,5
19-10-2012,Jacksonville,2.5
19-10-2012,Charlotte,2
19-10-2012,Miami,2
19-10-2012,Pittsburgh,3
19-10-2012,Toronto,3
19-10-2012,Philadelphia,2
19-10-2012,New York,2
19-10-2012,Montreal,0
19-10-2012,Boston,0
19-10-2012,Beersheba,1
19-10-2012,Tel Aviv District,2
19-10-2012,Eilat,4
19-10-2012,Haifa,2.5
19-10-2012,Nahariyya,2.5
19-10-2012,Jerusalem,1
20-10-2012,Vancouver,4
20-10-2012,Portland,3
20-10-2012,San Francisco,4
20-10-2012,Seattle,5
20-10-2012,Los Angeles,0
20-10-2012,San Diego,1.5
20-10-2012,Las Vegas,1
20-10-2012,Phoenix,0
20-10-2012,Albuquerque,2
20-10-2012,Denver,2
20-10-2012,San Antonio,2
20-10-2012,Dallas,1
20-10-2012,Houston,2
20-10-2012,Kansas City,6.5
20-10-2012,Minneapolis,1.5
20-10-2012,Saint Louis,5
20-10-2012,Chicago,3
20-10-2012,Nashville,3
20-10-2012,Indianapolis,5
20-10-2012,Atlanta,1.5
20-10-2012,Detroit,3
20-10-2012,Jacksonville,2.5
20-10-2012,Charlotte,2
20-10-2012,Miami,1
20-10-2012,Pittsburgh,2
20-10-2012,Toronto,4
20-10-2012,Philadelphia,3
20-10-2012,New York,5
20-10-2012,Montreal,3
20-10-2012,Boston,0.5
20-10-2012,Beersheba,1
20-10-2012,Tel Aviv District,1
20-10-2012,Eilat,3
20-10-2012,Haifa,2
20-10-2012,Nahariyya,2
20-10-2012,Jerusalem,0.5
21-10-2012,Vancouver,1
21-10-2012,Portland,3
21-10-2012,San Francisco,6
21-10-2012,Seattle,3
21-10-2012,Los Angeles,0
21-10-2012,San Diego,2
21-10-2012,Las Vegas,1
21-10-2012,Phoenix,1
21-10-2012,Albuquerque,0
21-10-2012,Denver,0
21-10-2012,San Antonio,1
21-10-2012,Dallas,0
21-10-2012,Houston,0.5
21-10-2012,Kansas City,0
21-10-2012,Minneapolis,0.5
21-10-2012,Saint Louis,0.5
21-10-2012,Chicago,2
21-10-2012,Nashville,1.5
21-10-2012,Indianapolis,3
21-10-2012,Atlanta,1
21-10-2012,Detroit,2
21-10-2012,Jacksonville,2
21-10-2012,Charlotte,0
21-10-2012,Miami,3
21-10-2012,Pittsburgh,4
21-10-2012,Toronto,3
21-10-2012,Philadelphia,2
21-10-2012,New York,3
21-10-2012,Montreal,3
21-10-2012,Boston,2
21-10-2012,Beersheba,2
21-10-2012,Tel Aviv District,0
21-10-2012,Eilat,2
21-10-2012,Haifa,1
21-10-2012,Nahariyya,1
21-10-2012,Jerusalem,1
22-10-2012,Vancouver,5
22-10-2012,Portland,2
22-10-2012,San Francisco,6.5
22-10-2012,Seattle,3
22-10-2012,Los Angeles,0
22-10-2012,San Diego,2.5
22-10-2012,Las Vegas,4
22-10-2012,Phoenix,1
22-10-2012,Albuquerque,2.5
22-10-2012,Denver,2
22-10-2012,San Antonio,4
22-10-2012,Dallas,5.5
22-10-2012,Houston,3
22-10-2012,Kansas City,2
22-10-2012,Minneapolis,3.5
22-10-2012,Saint Louis,3
22-10-2012,Chicago,2
22-10-2012,Nashville,2
22-10-2012,Indianapolis,2.5
22-10-2012,Atlanta,0
22-10-2012,Detroit,2
22-10-2012,Jacksonville,3
22-10-2012,Charlotte,1.5
22-10-2012,Miami,2.5
22-10-2012,Pittsburgh,3
22-10-2012,Toronto,3
22-10-2012,Philadelphia,3
22-10-2012,New York,5
22-10-2012,Montreal,7
22-10-2012,Boston,3
22-10-2012,Beersheba,2
22-10-2012,Tel Aviv District,1
22-10-2012,Eilat,3
22-10-2012,Haifa,2
22-10-2012,Nahariyya,2
22-10-2012,Jerusalem,2
23-10-2012,Vancouver,2
23-10-2012,Portland,2.5
23-10-2012,San Francisco,4.5
23-10-2012,Seattle,0
23-10-2012,Los Angeles,0
23-10-2012,San Diego,2
23-10-2012,Las Vegas,7
23-10-2012,Phoenix,0.5
23-10-2012,Albuquerque,2
23-10-2012,Denver,2
23-10-2012,San Antonio,4
23-10-2012,Dallas,6
23-10-2012,Houston,2.5
23-10-2012,Kansas City,3
23-10-2012,Minneapolis,4
23-10-2012,Saint Louis,2
23-10-2012,Chicago,2
23-10-2012,Nashville,2
23-10-2012,Indianapolis,3
23-10-2012,Atlanta,0
23-10-2012,Detroit,0
23-10-2012,Jacksonville,4
23-10-2012,Charlotte,0
23-10-2012,Miami,2
23-10-2012,Pittsburgh,2
23-10-2012,Toronto,3
23-10-2012,Philadelphia,3
23-10-2012,New York,5
23-10-2012,Montreal,6
23-10-2012,Boston,1
23-10-2012,Beersheba,1
23-10-2012,Tel Aviv District,2
23-10-2012,Eilat,1
23-10-2012,Haifa,2
23-10-2012,Nahariyya,2
23-10-2012,Jerusalem,1.5
24-10-2012,Vancouver,2.5
24-10-2012,Portland,4
24-10-2012,San Francisco,2
24-10-2012,Seattle,3
24-10-2012,Los Angeles,0
24-10-2012,San Diego,1.5
24-10-2012,Las Vegas,8
24-10-2012,Phoenix,0
24-10-2012,Albuquerque,2
24-10-2012,Denver,3
24-10-2012,San Antonio,4
24-10-2012,Dallas,6
24-10-2012,Houston,2
24-10-2012,Kansas City,4
24-10-2012,Minneapolis,4
24-10-2012,Saint Louis,3
24-10-2012,Chicago,2
24-10-2012,Nashville,2
24-10-2012,Indianapolis,2.5
24-10-2012,Atlanta,0
24-10-2012,Detroit,1.5
24-10-2012,Jacksonville,4
24-10-2012,Charlotte,1
24-10-2012,Miami,5
24-10-2012,Pittsburgh,3
24-10-2012,Toronto,4
24-10-2012,Philadelphia,1
24-10-2012,New York,1
24-10-2012,Montreal,1
24-10-2012,Boston,1.5
24-10-2012,Beersheba,1
24-10-2012,Tel Aviv District,1
24-10-2012,Eilat,2
24-10-2012,Haifa,2
24-10-2012,Nahariyya,2
24-10-2012,Jerusalem,2
25-10-2012,Vancouver,4
25-10-2012,Portland,3
25-10-2012,San Francisco,3.5
25-10-2012,Seattle,0
25-10-2012,Los Angeles,0
25-10-2012,San Diego,1
25-10-2012,Las Vegas,6.5
25-10-2012,Phoenix,1
25-10-2012,Albuquerque,2
25-10-2012,Denver,3
25-10-2012,San Antonio,3
25-10-2012,Dallas,5
25-10-2012,Houston,2
25-10-2012,Kansas City,6
25-10-2012,Minneapolis,2
25-10-2012,Saint Louis,2
25-10-2012,Chicago,3
25-10-2012,Nashville,2
25-10-2012,Indianapolis,3
25-10-2012,Atlanta,0
25-10-2012,Detroit,1
25-10-2012,Jacksonville,4.5
25-10-2012,Charlotte,0
25-10-2012,Miami,5
25-10-2012,Pittsburgh,3
25-10-2012,Toronto,3
25-10-2012,Philadelphia,2
25-10-2012,New York,3
25-10-2012,Montreal,3
25-10-2012,Boston,0.5
25-10-2012,Beersheba,1.5
25-10-2012,Tel Aviv District,2.5
25-10-2012,Eilat,3
25-10-2012,Haifa,2
25-10-2012,Nahariyya,2
25-10-2012,Jerusalem,1.5
26-10-2012,Vancouver,1
26-10-2012,Portland,1.5
26-10-2012,San Francisco,2
26-10-2012,Seattle,0
26-10-2012,Los Angeles,1.5
26-10-2012,San Diego,0.5
26-10-2012,Las Vegas,3
26-10-2012,Phoenix,1
26-10-2012,Albuquerque,5
26-10-2012,Denver,1.5
26-10-2012,San Antonio,3
26-10-2012,Dallas,6
26-10-2012,Houston,2
26-10-2012,Kansas City,6
26-10-2012,Minneapolis,7
26-10-2012,Saint Louis,3
26-10-2012,Chicago,6.5
26-10-2012,Nashville,2
26-10-2012,Indianapolis,4
26-10-2012,Atlanta,0
26-10-2012,Detroit,2
26-10-2012,Jacksonville,4
26-10-2012,Charlotte,0
