City,hemisphere,season,avg_temperature
Charlotte,"Northern Hemisphere",Summer,298.0417466965302
Miami,"Northern Hemisphere",Summer,301.3008634368408
"Los Angeles","Northern Hemisphere",Summer,295.6245862972321
Pittsburgh,"Northern Hemisphere",Summer,294.4760787107651
Houston,"Northern Hemisphere",Summer,301.46595193592174
"San Francisco","Northern Hemisphere",Summer,291.88886946231816
Toronto,"Northern Hemisphere",Summer,293.24766516032
"San Diego","Northern Hemisphere",Summer,294.2424502796102
Philadelphia,"Northern Hemisphere",Summer,296.20202048639453
"Kansas City","Northern Hemisphere",Summer,297.8444746064899
"Las Vegas","Northern Hemisphere",Summer,304.6644421940409
Minneapolis,"Northern Hemisphere",Summer,294.22652104159715
Montreal,"Northern Hemisphere",Summer,292.89192522982563
Seattle,"Northern Hemisphere",Summer,291.342863473902
Boston,"Northern Hemisphere",Summer,294.3024725467937
Beersheba,"Northern Hemisphere",Summer,297.85946199595605
"Saint Louis","Northern Hemisphere",Summer,297.8659461078621
"Tel Aviv District","Northern Hemisphere",Summer,300.6002801457883
Chicago,"Northern Hemisphere",Summer,294.70981388052934
Eilat,"Northern Hemisphere",Summer,304.64066816402993
Atlanta,"Northern Hemisphere",Summer,298.3659421561466
Portland,"Northern Hemisphere",Summer,292.66054574538543
Haifa,"Northern Hemisphere",Summer,301.1091059641822
Nashville,"Northern Hemisphere",Summer,298.2511694410959
Nahariyya,"Northern Hemisphere",Summer,299.55949272540767
Indianapolis,"Northern Hemisphere",Summer,295.98588339826256
Jerusalem,"Northern Hemisphere",Summer,299.4474904557115
Albuquerque,"Northern Hemisphere",Summer,295.76059966735335
"New York","Northern Hemisphere",Summer,296.29566155447844
Vancouver,"Northern Hemisphere",Winter,276.8989812179894
Portland,"Northern Hemisphere",Winter,277.6606326695974
"San Francisco","Northern Hemisphere",Winter,283.8368706057305
Seattle,"Northern Hemisphere",Winter,278.00426228142857
"Los Angeles","Northern Hemisphere",Winter,285.80836012710466
"San Diego","Northern Hemisphere",Winter,285.7521792971992
"Las Vegas","Northern Hemisphere",Winter,281.2258372846319
Phoenix,"Northern Hemisphere",Winter,285.1269481447551
Albuquerque,"Northern Hemisphere",Winter,275.2853355309278
"San Antonio","Northern Hemisphere",Winter,285.50837965907226
Dallas,"Northern Hemisphere",Winter,282.55087123113395
Houston,"Northern Hemisphere",Winter,286.4955569729991
"Kansas City","Northern Hemisphere",Winter,274.17621950239624
Minneapolis,"Northern Hemisphere",Winter,265.5609156092474
"Saint Louis","Northern Hemisphere",Winter,274.6442851937196
Chicago,"Northern Hemisphere",Winter,270.99087074516814
Nashville,"Northern Hemisphere",Winter,278.53263628366574
Indianapolis,"Northern Hemisphere",Winter,272.683824184667
Atlanta,"Northern Hemisphere",Winter,280.96722437354225
Detroit,"Northern Hemisphere",Winter,270.72406872495975
Jacksonville,"Northern Hemisphere",Winter,287.92241407321256
Charlotte,"Northern Hemisphere",Winter,279.7871181301268
Miami,"Northern Hemisphere",Winter,294.78604418880855
Pittsburgh,"Northern Hemisphere",Winter,273.0438224629956
Toronto,"Northern Hemisphere",Winter,270.39497074499684
Philadelphia,"Northern Hemisphere",Winter,274.56001487253536
Montreal,"Northern Hemisphere",Winter,266.7097131027518
Boston,"Northern Hemisphere",Winter,273.39409114468845
Beersheba,"Northern Hemisphere",Winter,283.8206514479071
"Tel Aviv District","Northern Hemisphere",Winter,287.239352759065
Eilat,"Northern Hemisphere",Winter,287.3040370678539
Haifa,"Northern Hemisphere",Winter,288.7095117719964
Nahariyya,"Northern Hemisphere",Winter,287.59420528373795
Jerusalem,"Northern Hemisphere",Winter,285.84317572242776
Denver,"Northern Hemisphere",Winter,272.6340918078649
"New York","Northern Hemisphere",Winter,274.2924264486388
