City,Month,Max_Temperature,Min_Temperature,Temperature_Fluctuation
Houston,10,306.87,275.7,31.170000000000016
Montreal,05,304.02,272.98,31.039999999999964
Portland,04,303.87,272.892666667,30.97733333299999
Beersheba,01,303.15,272.179,30.971000000000004
Philadelphia,12,294.32,263.35,30.96999999999997
Portland,07,311.94,281.01,30.930000000000007
Atlanta,10,303.37,272.448333333,30.92166666700001
Philadelphia,05,306.05,275.14,30.910000000000025
Toronto,12,287.4,256.504,30.895999999999958
Portland,09,309.51,278.624,30.885999999999967
Portland,05,305.44,274.56,30.879999999999995
"San Francisco",09,313.62,282.75,30.870000000000005
"New York",11,296.07,265.25,30.819999999999993
Portland,06,309.79,278.99,30.80000000000001
Toronto,04,296.06,265.28,30.78000000000003
"Tel Aviv District",11,307.86,277.15,30.710000000000036
"San Diego",02,304.68,274.013333333,30.666666667000015
Philadelphia,10,301.527,270.92,30.60699999999997
Phoenix,03,307.29,276.709666667,30.580333333
Jacksonville,11,304.47,273.9,30.57000000000005
Haifa,05,315.93,285.37,30.560000000000002
"New York",12,293.84,263.29,30.549999999999955
Jerusalem,03,307.59,277.04,30.549999999999955
"Los Angeles",02,304.15,273.612,30.537999999999954
Haifa,03,309.68,279.15,30.53000000000003
"Saint Louis",05,306.62,276.105,30.514999999999986
Pittsburgh,10,300.8,270.33,30.470000000000027
"San Diego",03,303.93,273.473333333,30.45666666699998
Charlotte,12,296.34,265.89,30.44999999999999
"Tel Aviv District",10,314.18,283.745,30.435000000000002
Eilat,09,315.18,284.791,30.38900000000001
"Las Vegas",02,300.15,269.786,30.363999999999976
"Tel Aviv District",04,310.92,280.578,30.34200000000004
Chicago,05,305.18,274.88,30.30000000000001
Philadelphia,09,306.45,276.15,30.30000000000001
"New York",10,301.73,271.48,30.25
Jerusalem,04,310.82,280.601333333,30.21866666699998
"Tel Aviv District",03,308.03,277.82,30.20999999999998
"Los Angeles",03,303.42,273.230666667,30.189333333000036
Atlanta,04,302.92,272.76,30.160000000000025
Phoenix,02,303.02,272.874,30.145999999999958
Detroit,05,304.11,274.02,30.090000000000032
Jacksonville,02,301.47,271.39,30.08000000000004
"Los Angeles",09,311.95,281.879333333,30.070666667000012
"Los Angeles",04,303.88,273.825666667,30.054333332999988
"Las Vegas",07,318.41,288.402,30.008000000000038
Eilat,01,301.15,271.15,30
Albuquerque,12,289.563,259.685333333,29.87766666699997
Nahariyya,11,305.15,275.299,29.851
"San Diego",04,305.072666667,275.235666667,29.837000000000046
Dallas,05,307.09,277.34,29.75
Boston,09,306.9,277.15,29.75
Jerusalem,02,302.69,272.974,29.716000000000008
Detroit,09,308.05,278.34,29.710000000000036
Portland,10,301.32,271.637333333,29.682666666999978
"Kansas City",06,310.45,280.83,29.620000000000005
Eilat,03,307.66,278.04,29.620000000000005
Portland,08,312.52,282.93,29.589999999999975
Haifa,12,303.7,274.15,29.55000000000001
Denver,08,308.58,279.064,29.515999999999963
Chicago,06,307.71,278.22,29.489999999999952
Beersheba,05,310.333,280.891,29.442000000000007
Jacksonville,12,301.82,272.5,29.319999999999993
"San Antonio",05,309.72,280.41,29.310000000000002
Houston,12,301.26,272.03,29.230000000000018
Dallas,04,305.1,275.9,29.200000000000045
Seattle,04,303.97,274.78,29.190000000000055
"New York",05,306.61,277.45,29.160000000000025
Boston,10,299.6,270.46,29.140000000000043
Haifa,04,310.65,281.74,28.909999999999968
Dallas,09,313.71,284.809666667,28.900333332999992
Beersheba,03,306.2,277.316,28.884000000000015
Indianapolis,05,303.82,274.95,28.870000000000005
Chicago,10,300.95,272.15,28.80000000000001
Denver,07,309.9,281.104,28.795999999999992
Eilat,02,305.15,276.42,28.72999999999996
Portland,03,297.15,268.430666667,28.719333332999952
Detroit,10,301.71,273.1,28.609999999999957
Nahariyya,10,308.15,279.633,28.516999999999996
Indianapolis,07,312.04,283.6,28.439999999999998
Beersheba,06,311.6,283.171,28.42900000000003
Pittsburgh,09,305.14,276.7645,28.375499999999988
Nashville,05,305.15,276.79,28.359999999999957
Indianapolis,06,309.96,281.614,28.346000000000004
Eilat,12,305.15,276.81,28.339999999999975
Chicago,09,308.48,280.15,28.33000000000004
Toronto,05,302.88,274.7,28.180000000000007
Haifa,01,299.29,271.15,28.140000000000043
"Tel Aviv District",05,313.04,284.966,28.074000000000012
Nahariyya,06,313.15,285.116,28.033999999999992
Jerusalem,05,312.85,284.877,27.973000000000013
Miami,02,303.181,275.233333333,27.947666666999964
"Tel Aviv District",06,312.94,285.021,27.918999999999983
Montreal,06,305.44,277.53,27.910000000000025
Minneapolis,06,307.03,279.15,27.879999999999995
"San Diego",09,309.629,281.755666667,27.873333333000005
Houston,04,306.25,278.39,27.860000000000014
Phoenix,08,318.11,290.287,27.823000000000036
Atlanta,12,297.07,269.35,27.71999999999997
Seattle,06,307.3,279.64,27.660000000000025
Jerusalem,06,313.03,285.37,27.659999999999968
Portland,11,293.7,266.057,27.642999999999972
"New York",09,307.22,279.62,27.600000000000023
Toronto,09,306.48,279.018666667,27.461333333000027
Nahariyya,02,301.15,273.798,27.351999999999975
Detroit,06,306.52,279.216,27.303999999999974
Nahariyya,01,295.919,268.682,27.236999999999966
Nashville,09,308.58,281.36,27.21999999999997
Haifa,06,314.74,287.59,27.150000000000034
Albuquerque,07,310.83,283.72,27.109999999999957
Beersheba,07,310.943,283.848,27.09499999999997
Montreal,07,307.88,280.92,26.95999999999998
Nahariyya,09,312.15,285.191,26.959000000000003
Portland,12,289.32,262.37,26.94999999999999
Seattle,05,302.61,275.71,26.900000000000034
"Los Angeles",08,310.57,283.687,26.88299999999998
Eilat,11,307.25,280.368,26.882000000000005
Boston,06,307.24,280.37,26.870000000000005
Jerusalem,11,304,277.15,26.850000000000023
Nahariyya,12,299.15,272.59,26.560000000000002
"Tel Aviv District",12,302.64,276.14,26.5
Indianapolis,08,308.78,282.322333333,26.457666666999955
Haifa,02,301.15,274.75,26.399999999999977
Charlotte,05,304.59,278.24,26.349999999999966
"San Francisco",06,308.8,282.458,26.341999999999985
Toronto,06,305.07,278.764,26.305999999999983
Seattle,09,305.15,278.89,26.25999999999999
Albuquerque,08,307.63,281.41,26.21999999999997
"Saint Louis",07,311.59,285.41,26.17999999999995
Nahariyya,08,313.15,286.991,26.158999999999992
Seattle,11,294.38,268.224333333,26.15566666699999
Atlanta,05,305.47,279.35,26.120000000000005
Beersheba,08,312.308,286.209,26.09899999999999
Pittsburgh,06,304.99,278.91,26.079999999999984
"Los Angeles",07,310.77,284.771,25.998999999999967
Nahariyya,03,301.15,275.172,25.977999999999952
Charlotte,09,306.96,281.06,25.899999999999977
Toronto,10,297.41,271.56,25.850000000000023
"Kansas City",08,310.09,284.43,25.659999999999968
Philadelphia,06,307.625666667,282.08,25.545666667000035
"San Francisco",10,305.79,280.25,25.54000000000002
"New York",06,307.72,282.188,25.53200000000004
Seattle,07,307.15,281.73,25.41999999999996
"Tel Aviv District",01,299.21,273.85,25.359999999999957
"Kansas City",07,310.54,285.35,25.189999999999998
Charlotte,06,310.9,285.77,25.129999999999995
Jacksonville,10,304.81,279.69,25.120000000000005
Minneapolis,08,307.09,281.98,25.109999999999957
Jacksonville,04,305.84,280.75,25.089999999999975
"San Diego",08,307.95,282.94,25.00999999999999
Haifa,08,316.48,291.48,25
"Saint Louis",08,310.128,285.15,24.97800000000001
Portland,01,289.143,264.18,24.962999999999965
Portland,02,290.52,265.56,24.95999999999998
Houston,05,305.61,280.72,24.889999999999986
"San Francisco",08,309.63,284.7405,24.889499999999998
Miami,12,303.4,278.519333333,24.880666666999957
Vancouver,01,288.27,263.41,24.859999999999957
"San Francisco",07,308.04,283.318666667,24.72133333300002
Boston,08,307.44,282.83,24.610000000000014
Vancouver,09,302.51,277.93,24.579999999999984
Jerusalem,01,298.14,273.588,24.551999999999964
"San Antonio",09,310.1,285.581333333,24.518666667000048
Phoenix,07,319.25,294.732,24.517999999999972
Philadelphia,08,307.59,283.15,24.439999999999998
"San Antonio",07,313.66,289.25,24.410000000000025
Seattle,12,288.14,263.78,24.360000000000014
Atlanta,09,306.94,282.59,24.350000000000023
"Saint Louis",06,308.52,284.199333333,24.320666666999955
Beersheba,09,308.88,284.629,24.250999999999976
Nahariyya,07,311.77,287.569,24.200999999999965
Pittsburgh,08,305.32,281.15,24.170000000000016
Minneapolis,07,307.33,283.17,24.159999999999968
Seattle,02,289.78,265.64,24.139999999999986
"San Francisco",11,299.06,275.01,24.05000000000001
Miami,03,304.484333333,280.46,24.024333333000016
Haifa,11,305.15,281.15,24
Nashville,08,309.06,285.07,23.99000000000001
Vancouver,10,293.09,269.15,23.939999999999998
"San Diego",07,307.311666667,283.382,23.929666666999992
Chicago,08,307.72,283.85,23.870000000000005
Toronto,07,307.28,283.49,23.789999999999964
Houston,06,312.91,289.15,23.760000000000048
Pittsburgh,07,306.29,282.578333333,23.71166666700003
Jacksonville,05,307.72,284.01,23.710000000000036
"San Francisco",04,303.26,279.648333333,23.61166666700001
Detroit,08,306.65,283.04,23.609999999999957
Dallas,06,312.4,288.801333333,23.598666666999975
Nashville,07,309.15,285.57,23.579999999999984
Detroit,07,307.47,283.893,23.577000000000055
Miami,01,302.26,278.71,23.55000000000001
"Tel Aviv District",08,311.02,287.521,23.498999999999967
Dallas,08,314.4,290.964,23.43599999999998
Toronto,08,307.03,283.63,23.399999999999977
"San Francisco",05,304.67,281.308,23.362000000000023
Vancouver,04,297.54,274.261,23.278999999999996
Nashville,06,307.92,284.67,23.25
Haifa,07,315.93,292.68,23.25
Vancouver,05,299.53,276.29,23.239999999999952
Seattle,08,306.07,282.9,23.170000000000016
Montreal,08,304.91,281.77,23.140000000000043
Vancouver,08,307,283.9,23.100000000000023
Seattle,03,294.17,271.130666667,23.039333333000002
Boston,07,308,285.07,22.930000000000007
Jerusalem,08,311.14,288.236,22.903999999999996
"San Antonio",06,313.45,290.64,22.810000000000002
Houston,09,310.21,287.41,22.799999999999955
Seattle,01,287.743,264.97,22.772999999999968
Chicago,07,307.75,284.99,22.75999999999999
Atlanta,07,310.76,288.08,22.680000000000007
"San Francisco",12,294.93,272.3,22.629999999999995
"New York",08,308.22,285.7,22.52000000000004
"New York",07,310.24,287.78,22.460000000000036
Jerusalem,12,299.49,277.15,22.340000000000032
Vancouver,06,302.71,280.6,22.109999999999957
Charlotte,07,309.52,287.51,22.00999999999999
Seattle,10,296.11,274.15,21.960000000000036
Dallas,07,312.6,290.754,21.846000000000004
"San Francisco",02,297.45,275.89,21.560000000000002
Atlanta,06,309.12,287.65,21.470000000000027
Miami,11,304.051,282.759,21.291999999999973
Philadelphia,07,308,286.711666667,21.288333333000026
Jerusalem,07,309.44,288.409,21.031000000000006
"San Francisco",01,294.93,273.9,21.03000000000003
"San Francisco",03,298.04,277.06,20.980000000000018
Charlotte,08,309.04,288.42,20.620000000000005
Atlanta,08,308.61,288.26,20.350000000000023
Vancouver,03,291.7,271.37,20.329999999999984
Vancouver,02,285.76,265.53,20.230000000000018
"San Antonio",08,312.09,292.14,19.94999999999999
Vancouver,07,303.72,284.13,19.590000000000032
Miami,04,306.831666667,287.41,19.421666666999954
Houston,08,312.64,293.4,19.24000000000001
"Tel Aviv District",07,309.14,290.02,19.120000000000005
Miami,10,305.91,287.12,18.79000000000002
Miami,05,307.69,289.23,18.45999999999998
Houston,07,312.07,294.18,17.889999999999986
Jacksonville,06,308.69,291.44,17.25
Jacksonville,09,307.74,291.48,16.25999999999999
Jacksonville,07,310.15,294.22,15.92999999999995
Jacksonville,08,309.15,294.664666667,14.485333332999971
Miami,09,308.68,294.790666667,13.889333333000025
Miami,08,307.19,294.936333333,12.253666667000005
Miami,07,307.22,295.4,11.82000000000005
Miami,06,306.345666667,294.613666667,11.731999999999971
